manifold_lex_d2_n9_#369: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#370: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#371: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#372: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#373: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#374: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#375: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#376: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#377: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#378: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#379: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#380: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#381: ( - ; 1 ) = RP^2
